year,title,issn,id,doi,url_publicacion,conc_ciencia,titulo,abstract,tipo_fuente,autores,sjr_materia,fuente,,,,,,,,,Total articulos 2000-2024: 754
1971,"“Gif Natural Radiocarbon Measurements, VI”",,958530,10.1017/s0033822200008444,,,GIF Natural Radiocarbon Measurements VI,"This list consists mainly of dates obtained from analysis during 1967 and 1968 of archaeologic and geologic samples. The last section deals essentially with climatic, palynologic, and sea level variation problems. All measurements of atmospheric CO 2 made periodically from 1962 until end of 1970 are also published here. In agreement with international convention, all dates have been calculated on the basis of the C 14 half-life of 5568 years and 95% of NBS oxalic acid as the modern reference year.",['Revista'],1|G. Delibrias; 2|M. T. Guillier; 3|J. Labeyrie,,Radiocarbon,,,,,,,,,
1972,Determinación de la edad por medio del C14,,960076,,,,Determinación de la edad por medio del C14,,['Revista'],1|William H. Waldren,,Bolletí de la Societat D'història Natural de Les Balears,,,,,,,,,
1972,Groningen Radiocarbon Dates X,0033-8222,960434,10.1017/s0033822200001016,,,Groningen Radiocarbon Dates X,"This list contains most of the unpublished radiocarbon dates measured between 1961 and 1968. Analyses of the C 14 content of groundwater are excluded and a number of geologic dates will be included in a later list. Certain earlier analyses performed by H. de Vries and H. de Waard are included, as well as a few results obtained since W. G. Mook assumed responsibility for the laboratory in 1969, to complete series. Descriptions and comments are mainly based on information supplied by the submitters or contained in the publications cited. However, our own interpretation is often given in the comments. Sections I A to D2, II B1, and B2 were mainly prepared by the first author and the rest by the second.",['Revista'],1|J. C. Vogel; 2|H. T. Waterbolk,,Radiocarbon,,,,,,,,,
1972,La prehistoria de Mallorca,,959943,,,,La prehistoria de Mallorca. Rectificaciones y nuevos enfoques al problema,,['Revista'],1|Guillem Rosselló Bordoy,,Mayurqa: Revista del Departament de Ciències Històriques I Teoria de Les Arts,,,,,,,,,
1972,Smithsonian Institution Radiocarbon Measurements VII,,960070,10.1017/s0033822200059452,,,Smithsonian Institution Radiocarbon Measurements VII,"This list includes those samples dated between December 1968 and July 1971. Samples before SI-617 were completed before the laboratory was dismantled in April 1969 for renovations in the Smithsonian Institution Building. Samples beginning with SI-617 were dated after December 1970, following re-establishment of the laboratory in new quarters.",['Revista'],1|Robert Stuckenrath; 2|James E. Mielke,,Radiocarbon,,,,,,,,,
1972,Uma Nova Necrópole da Idade do Bronze: A Gruta da Marmota,,959479,,,,Uma nova necrópole da Idade do Bronze : a Gruta da Marmota,,['Revista'],1|Victor S. Gonçalves,,,,,,,,,,,
1973,Corpus de Materiales de las Culturas Prehistóricas con Cerámica de la Población de Cavernas del País Vasco Meridional,,958850,,,,Corpus de materiales de las culturas prehistóricas con cerámica de la población de Cavernas del País Vasco Meridional,,['Revista'],1|Juan María Apellániz Castroviejo,,Munibe. Suplemento,,,,,,,,,
1973,Glacial-Postglacial Temperature Difference Deduced from Aspartic Acid-Racemization in Fossil Bones,,960067,10.1126/science.182.4111.479,,,Glacial-Postglacial Temperature Difference Deduced from Aspartic Acid Racemization in Fossil Bones,The magnitude of the temperature increase that occurred in continental regions following the termination of the last glaciation has been determined from the degree of racemization of aspartic acid in fossil bones of known age. The results indicate an increase of 4 degrees C for the Mediterranean coast and 5 degrees to 6 degrees C for East Africa. These estimates are believed to be reliable within 1 degrees C.,['Revista'],1|Roy A. Schroeder; 2|Jeffrey L. Bada,,Science,,,,,,,,,
1973,La necrópolis de Son Oms,,960058,,,,La necrópolis de Son Oms (Palma de Mallorca),,['Revista'],1|C. Cantalleras; 2|L. Plantamayor,,,,,,,,,,,
1973,Las excavaciones de “Son Oms” (Mallorca) 1969-1971,,960063,,,,"Las excavaciones de ""Son Oms"" (Mallorca"") 1969-1971",,['Revista'],1|J. Camps; 2|Guillem Rosselló Bordoy,,,,,,,,,,,
1974,"Descubrimiento de la Terraza Würmiense en la Margen Izquierda del Río Manzanares: Aportaciones Paleoclimáticas, Nuevos Restos y Testimonio del Madrileño Hombre Prehistórico y Protohistórico",1988-3250,959847,,,,Descubrimiento de la terraza würmiense en la margen izquierda del río Manzanares: aportaciones paleoclimáticas. Nuevos restos y testimonio del madrileño hombre prehistórico y protohistórico,,['Revista'],1|C. Gaibar-Puertas,,Estudios Geologicos-Madrid,,,,,,,,,
1974,El Grupo de Los Husos durante la Prehistoria con Cerámica en el País Vasco,0425-3507,958851,,,,El grupo de los husos durante la Prehistoria con cerámica en el País Vasco,,['Revista'],1|Juan María Apellániz Castroviejo,,Estudios de Arqueología Alavesa,,,,,,,,,
1974,El Neolítico de la Cueva de los Murciélagos de Zuheros,0082-5638,960176,,,,El Neolítico de la Cueva de los Murciélagos de Zuheros,,['Revista'],1|Ana María Muñoz Amilibia,,Trabajos de Prehistoria,,,,,,,,,
1974,Gif Natural Radiocarbon Measurements VIII,0033-8222,959698,10.1017/s0033822200001417,,,Gif Natural Radiocarbon Measurements VIII,"The following date list consists of samples prepared mainly during 1970 and 1971. Some old measurements, not included in previous lists are added. Ages reported here are calculated using the conventional half-life of 14 C: 5568 years and NBS oxalic acid as recent standard.",['Revista'],1|G Delibrias; 2|M T Guillier; 3|J Labeyrie,,Radiocarbon,,,,,,,,,
1974,Harwell Radiocarbon Measurements I,0033-8222,960283,10.1017/s0033822200001545,,,Harwell Radiocarbon Measurements I,"The Low-level Measurements Laboratory at AERE, Harwell was set up some years ago principally to measure natural levels of tritium in water for hydrologic applications. The measurement of 14 C in groundwater carbonates was a logical development from this work. In the period 1971–73 the measurement system has been extended to include archaeologic samples and this is the first list of dates for samples submitted during that period.",['Revista'],1|R L Otlet; 2|B S Slade,,Radiocarbon,,,,,,,,,
1974,La Peneda del Viso,0210-7791,959681,,,,La Peneda del Viso,,['Revista'],1|Mariano García Rollán,,Museo de Pontevedra,,,,,,,,,
1974,“Anotaciones sobre la cronología de las navetas de Menorca”,,448541,,,,Anotaciones sobre la cronología de las Navetas de Menorca,,['Revista'],"1|Veny Melià, Cristóbal",1204|Archeology (arts and Humanities); 3302|Archeology,Trabajos de Prehistoria,,,,,,,,,
1975,14C carbonate dating and the age of post-Talayotic lime burials in Mallorca,,960071,10.1038/255475a0,,,14C carbonate dating and the age of post-Talayotic lime burials in Mallorca,,['Revista'],1|MINZE STUIVER; 2|WILLIAM H. WALDREN,,Nature,,,,,,,,,
1975,Jardín: Vorbericht über die Grabung 1974 in der Nekropole des 6/5,0418-9744,960164,,,,Jardín. Vorbericht über die Grabung 1974 in der Nekropole des 6.- 5. Jahrhunderts v. Chr.,,['Revista'],1|Gerta Maass-Lndemann; 2|Hermanfrid Schubart,,Mitteilungen Des Deutschen Archaologischen Instituts. Abteilung Madrid,,,,,,,,,
